"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"57",8853778,"Media Personnel (Lebanon)","Social,Media","Lebanon","Rally support on behalf of",53,3.8,"Samir Kassir","Social,Education","Lebanon",3495730,3,"Agence France-Presse","Beirut","","Beyrouth","Lebanon",33.8889,35.4944,2005,6,3
"58",8853866,"Reuven Rivlin","Government,Elite","Israel","Consult",40,1,"Ferenc Mádl","Executive Office,Elite,Government,Executive","Hungary",3495979,6,"Associated Press Newswires","Jerusalem","","Jerusalem District","Hungary",31.769,35.2163,2005,6,3
"59",8854040,"Mohammad Khatami","Ideological,Elite,Parties,(National) Major Party,Executive,Centrist,Executive Office,Government","Iran","Criticize or denounce",111,-2,"Party Member (Iran)","Parties","Iran",3496376,4,"Agence France-Presse","Nahavand","","Qazvin Province","Iran",35.9249,49.5161,2005,6,3
"60",8854120,"Ariel Sharon","Center Right,Ideological,Government,(National) Major Party,Parties,Executive,Executive Office,International Ethnic,Jews","Israel","Make a visit",42,1.9,"Japan","","Japan",3496716,1,"Jiji Press English News Service","Tokyo","","Tokyo-to","Japan",35.6895,139.692,2005,6,3
"61",8854129,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory","Consult",40,1,"Ariel Sharon","Center Right,Ideological,Government,(National) Major Party,Parties,Executive,Executive Office,International Ethnic,Jews","Israel",3496741,6,"Agence France-Presse","Jerusalem","","Jerusalem District","Israel",31.769,35.2163,2005,6,3
"62",8854565,"Foreign Affairs (Egypt)","Foreign Ministry,Executive,Government","Egypt","Make an appeal or request",20,3,"Government (Egypt)","Government","Egypt",3497819,1,"BBC Monitoring Africa","Harare","","Harare Province","Egypt",-17.8277,31.0534,2005,6,3
"63",8854703,"Palestinian Territory, Occupied","","Occupied Palestinian Territory","Threaten",130,-4.4,"Israel","","Israel",3498208,6,"Associated Press Newswires","Gaza","","Gaza Strip","Israel",31.5,34.4667,2005,6,3
"64",8855212,"Ariel Sharon","Center Right,Ideological,Government,(National) Major Party,Parties,Executive,Executive Office,International Ethnic,Jews","Israel","Express intent to meet or negotiate",36,4,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",3499523,5,"ITAR Tass","Gaza","","Gaza Strip","Occupied Palestinian Territory",31.5,34.4667,2005,6,3
"65",8855313,"Settler (Palestinian Territory, Occupied)","Social,General Population / Civilian / Social","Occupied Palestinian Territory","Reject proposal to meet, discuss, or negotiate",125,-5,"Government (Palestinian Territory, Occupied)","Government","Occupied Palestinian Territory",3499827,5,"The Jerusalem Post","","","Gaza Strip","Occupied Palestinian Territory",31.4167,34.3333,2005,6,3
"66",8855318,"Police (Israel)","Government,Police","Israel","Investigate",90,-2,"Company - Owner or Operator (Israel)","Business,Social","Israel",3499840,2,"The Jerusalem Post","","","","Israel",31.779,35.2253,2005,6,3
"67",8856186,"Hezbollah","Organized Violent,Ideological,Social,National Religious,International Religious,Dissident,Shia,Far Left","Lebanon","Rally opposition against",113,-2,"United States","","United States",3500691,1,"Daily Star","Beirut","","Beyrouth","United States",33.8889,35.4944,2005,6,4
"68",8856208,"Police (Israel)","Government,Police","Israel","Demand",100,-5,"Military (Palestinian Territory, Occupied)","Military,Government","Occupied Palestinian Territory",3500760,2,"Australian Broadcasting Corporation (ABC) News","","","West Bank","Occupied Palestinian Territory",31.6667,35.25,2005,6,4
"69",8856549,"Émile Lahoud","Executive Office,International Religious,Executive,Government,Military,Maronite","Lebanon","Deny responsibility",16,-5,"Samir Kassir","Social,Education","Lebanon",3501836,6,"Irish Times","","","","Lebanon",33.5102,36.2913,2005,6,4
"70",8856649,"Hamas","Dissident,Nongovernmental Organization (International),(National) Major Party,Parties","Occupied Palestinian Territory","Criticize or denounce",111,-2,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",3502018,2,"Associated Press Newswires","Ramallah","","West Bank","Occupied Palestinian Territory",31.8996,35.2042,2005,6,4
"71",8856704,"High Ranking Military Personnel (Iran)","Military,Government","Iran","Make statement",10,0,"Military (Iran)","Military,Government","Iran",3502126,6,"BBC Monitoring Middle East","","","","Iran",35.6944,51.4215,2005,6,4
"72",8856956,"Hamas","Dissident,Nongovernmental Organization (International),(National) Major Party,Parties","Occupied Palestinian Territory","Reject",120,-4,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",3502804,1,"Agence France-Presse","Gaza","","Gaza Strip","Occupied Palestinian Territory",31.5,34.4667,2005,6,4
"73",8857193,"Sayyed Ali Khamenei","Ideological,Government Religious,Elite,Parties,Far Right,(National) Major Party,Military,Executive,Executive Office,Government","Iran","Make an appeal or request",20,3,"Citizen (Iran)","General Population / Civilian / Social,Social","Iran",3503228,1,"Agence France-Presse","Tehran","","Tehran Province","Iran",35.6944,51.4215,2005,6,4
"74",8857201,"Police (Iraq)","Government,Police","Iraq","Make an appeal or request",20,3,"Iraq","","Iraq",3503257,1,"BBC Monitoring Middle East","","","Kurdistan","Iraq",36.2267,44.7611,2005,6,4
"75",8857248,"Supreme Iraqi Criminal Tribunal","Government,National / Supreme Court,Judicial","Iraq","Make statement",10,0,"Saddam Hussein","Criminals / Gangs,Elite,Dissident,International Religious,Sunni","Iraq",3503355,6,"Associated Press Newswires","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,6,4
